KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
531618,NuËice,1 519,1 023,1 012,"16,79 %","0,09 %","0,00 %","4,44 %","0,00 %","9,48 %","2,86 %","2,07 %","0,00 %","2,27 %","0,19 %","0,29 %","18,67 %","0,00 %","0,00 %","8,89 %","23,12 %","0,00 %","0,00 %","4,15 %","0,09 %","0,79 %","0,00 %","0,09 %","5,33 %","0,29 %"
539503,Ohrobec,953,712,710,"19,71 %","0,14 %","0,14 %","4,50 %","0,14 %","10,70 %","3,23 %","1,12 %","0,98 %","1,83 %","0,00 %","0,00 %","14,92 %","0,00 %","0,14 %","10,70 %","23,09 %","0,14 %","0,14 %","1,26 %","0,00 %","0,28 %","0,28 %","0,14 %","5,91 %","0,42 %"
571334,Oko¯,84,53,50,"36,00 %","0,00 %","0,00 %","8,00 %","0,00 %","8,00 %","0,00 %","0,00 %","0,00 %","2,00 %","0,00 %","0,00 %","14,00 %","0,00 %","0,00 %","10,00 %","16,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","6,00 %","0,00 %"
539511,Okrouhlo,539,383,382,"12,30 %","0,00 %","0,52 %","3,66 %","0,26 %","9,68 %","4,97 %","1,04 %","1,04 %","1,30 %","0,00 %","0,00 %","17,27 %","0,00 %","0,00 %","7,06 %","28,27 %","0,00 %","0,26 %","1,83 %","0,00 %","0,78 %","0,00 %","0,26 %","9,16 %","0,26 %"
539520,O¯ech,732,522,519,"22,54 %","0,00 %","0,19 %","4,62 %","0,00 %","7,89 %","4,04 %","2,31 %","0,57 %","1,15 %","0,00 %","0,00 %","13,29 %","0,00 %","0,19 %","9,63 %","21,19 %","0,38 %","0,19 %","3,08 %","0,19 %","1,34 %","0,00 %","0,00 %","7,12 %","0,00 %"
539546,Petrov,543,371,369,"14,63 %","0,00 %","0,00 %","6,77 %","0,00 %","6,50 %","2,98 %","1,35 %","0,27 %","2,71 %","0,54 %","0,27 %","19,24 %","0,27 %","0,27 %","8,13 %","25,74 %","0,00 %","0,00 %","1,35 %","0,00 %","0,81 %","0,27 %","0,54 %","7,04 %","0,27 %"
539562,Poho¯Ì,284,185,183,"9,28 %","0,00 %","0,00 %","3,82 %","0,00 %","9,83 %","4,37 %","0,54 %","0,54 %","3,27 %","0,00 %","0,00 %","16,93 %","0,00 %","0,00 %","3,82 %","30,05 %","0,00 %","1,09 %","3,82 %","0,00 %","3,27 %","0,54 %","0,00 %","6,55 %","2,18 %"
539571,Pr˘honice,1 811,1 383,1 375,"19,05 %","0,14 %","0,00 %","3,85 %","0,00 %","6,47 %","4,72 %","1,52 %","0,50 %","1,60 %","0,07 %","0,00 %","13,74 %","0,07 %","0,21 %","11,20 %","27,78 %","0,00 %","0,07 %","3,63 %","0,00 %","0,80 %","0,00 %","0,36 %","3,92 %","0,21 %"
539597,Ps·ry,2 863,1 951,1 942,"18,17 %","0,05 %","0,05 %","4,17 %","0,10 %","12,97 %","3,29 %","1,23 %","0,56 %","1,54 %","0,15 %","0,36 %","13,74 %","0,00 %","0,00 %","10,04 %","22,24 %","0,05 %","0,15 %","2,26 %","0,00 %","1,44 %","0,25 %","0,00 %","6,74 %","0,36 %"
532789,Ptice,615,452,450,"14,44 %","0,00 %","0,00 %","5,55 %","0,22 %","10,88 %","4,44 %","1,33 %","0,00 %","2,22 %","0,44 %","0,22 %","18,00 %","0,00 %","0,00 %","9,33 %","23,11 %","0,00 %","0,22 %","4,88 %","0,00 %","0,00 %","0,44 %","0,00 %","4,22 %","0,00 %"
571318,RoblÌn,175,131,130,"25,38 %","0,00 %","0,00 %","3,84 %","0,00 %","3,07 %","6,15 %","1,53 %","1,53 %","3,07 %","0,00 %","0,00 %","13,07 %","0,00 %","0,00 %","10,00 %","22,30 %","0,00 %","0,76 %","0,76 %","0,00 %","1,53 %","0,00 %","0,00 %","6,15 %","0,76 %"
539627,Roztoky,5 782,4 230,4 196,"16,03 %","0,14 %","0,11 %","4,81 %","0,04 %","7,88 %","4,38 %","1,76 %","0,45 %","1,88 %","0,00 %","0,14 %","15,25 %","0,02 %","0,07 %","18,54 %","17,18 %","0,07 %","0,00 %","4,62 %","0,02 %","0,92 %","0,09 %","0,04 %","5,36 %","0,09 %"
531723,Rudn·,3 629,2 471,2 449,"16,21 %","0,00 %","0,16 %","4,77 %","0,08 %","9,26 %","4,04 %","1,55 %","0,28 %","2,36 %","0,08 %","0,12 %","17,02 %","0,08 %","0,04 %","9,63 %","23,43 %","0,20 %","0,08 %","2,73 %","0,04 %","0,85 %","0,16 %","0,08 %","6,53 %","0,12 %"
539643,ÿevnice,2 699,1 905,1 894,"16,68 %","0,10 %","0,10 %","4,64 %","0,05 %","7,86 %","3,64 %","1,90 %","0,79 %","2,37 %","0,21 %","0,15 %","16,42 %","0,05 %","0,21 %","12,30 %","21,80 %","0,15 %","0,05 %","4,11 %","0,00 %","0,84 %","0,00 %","0,31 %","4,96 %","0,21 %"
539651,ÿitka,890,633,629,"17,80 %","0,31 %","0,31 %","3,02 %","0,00 %","7,31 %","3,33 %","1,58 %","0,15 %","2,38 %","0,47 %","0,47 %","15,73 %","0,00 %","0,00 %","13,35 %","22,41 %","0,15 %","0,00 %","3,17 %","0,00 %","0,47 %","0,00 %","0,00 %","6,99 %","0,47 %"
539660,Slapy,707,495,490,"14,89 %","0,00 %","0,00 %","5,51 %","0,40 %","7,55 %","4,69 %","1,83 %","1,83 %","1,42 %","0,20 %","0,20 %","14,08 %","0,00 %","0,00 %","8,77 %","27,34 %","0,00 %","0,20 %","3,06 %","0,00 %","1,02 %","0,00 %","0,00 %","6,32 %","0,61 %"
539686,Statenice,1 019,681,677,"19,94 %","0,00 %","0,00 %","3,24 %","0,00 %","5,61 %","2,21 %","1,92 %","1,62 %","2,51 %","0,00 %","0,00 %","17,13 %","0,00 %","0,00 %","12,99 %","20,53 %","0,00 %","0,00 %","3,98 %","0,00 %","0,44 %","0,00 %","0,00 %","7,82 %","0,00 %"
539708,St¯edokluky,834,584,581,"17,38 %","0,00 %","0,34 %","7,05 %","0,00 %","4,99 %","7,57 %","2,75 %","0,51 %","1,20 %","0,00 %","0,17 %","9,63 %","0,00 %","0,00 %","10,32 %","27,88 %","0,00 %","0,17 %","3,09 %","0,00 %","0,00 %","0,00 %","0,17 %","6,71 %","0,00 %"
571342,SvrkynÏ,233,153,152,"17,10 %","0,00 %","0,00 %","3,28 %","0,00 %","5,26 %","11,84 %","1,31 %","1,31 %","0,00 %","0,00 %","0,65 %","13,15 %","0,00 %","1,31 %","11,18 %","24,34 %","0,00 %","0,00 %","1,97 %","0,00 %","1,31 %","0,00 %","0,00 %","5,92 %","0,00 %"
539732,ätÏchovice,1 504,1 031,1 026,"16,76 %","0,09 %","0,09 %","6,23 %","0,00 %","8,47 %","4,38 %","1,36 %","0,77 %","0,58 %","0,00 %","0,00 %","18,03 %","0,00 %","0,00 %","7,89 %","21,92 %","0,00 %","0,19 %","2,33 %","0,00 %","0,29 %","0,09 %","0,38 %","9,55 %","0,48 %"
531821,Tachlovice,754,484,482,"13,69 %","0,41 %","0,00 %","2,69 %","0,20 %","8,50 %","4,77 %","2,07 %","0,41 %","3,73 %","0,00 %","0,00 %","17,21 %","0,00 %","0,00 %","6,22 %","24,48 %","0,00 %","0,20 %","4,14 %","0,20 %","1,03 %","0,62 %","0,00 %","8,71 %","0,62 %"
598313,Trnov·,215,163,163,"14,72 %","1,22 %","0,00 %","9,81 %","0,00 %","4,29 %","2,45 %","1,84 %","0,61 %","4,29 %","0,00 %","0,00 %","20,85 %","0,00 %","0,00 %","4,29 %","20,24 %","0,00 %","0,00 %","3,68 %","0,00 %","1,84 %","0,61 %","0,00 %","7,97 %","1,22 %"
